comment_no	user_id_no	contents	reg_time	sympathy_count	antipathy_count
1871924973	hhj1****	이낙연, 황교안, 조국 ㅋㅋㅋ 가관이다! 뭐가 이리 인재가 없노? 특히 조국은 왜? 우리나라 사람들 이해 안되네~ 나라가 국운이 다해 가는구나! ㅋㅋㅋ	2019-10-01T17:08:31+0900	5	0
1871924293	khs4****	코웃음 나오네 범법자를  대통령감으로 보는 좌빨민주당 옹호세력이 그정도라는건데 일반 중도 시만들은 이번일로 조국은 물론 민주당 표줄일은 없을거다. 나또한 중도이기에 장담한다.	2019-10-01T17:08:06+0900	7	0
1871923193	sson****	신기하지?? 왜 진실 가까이 갈수록 좋아질까~~??^^	2019-10-01T17:07:10+0900	0	0
1871921493	qwes****	이게 나라가 진짜	2019-10-01T17:05:59+0900	6	0
1871916693	nobr****	리얼?미터  완전 뻥뻥미터	2019-10-01T17:02:16+0900	0	0
1871912433	sjch****	이 빨갱이 한겨레 놈들아~~	2019-10-01T16:58:42+0900	3	0
1871900273	anna****	거짓말쟁이 이낙연 조국은 물러가라 거짓말을대놓고 하네	2019-10-01T16:49:47+0900	6	0
1871891293	hope****	선동세력들이 권력 빼앗길까봐 아주 발악을 하는 구나 가짜지지율로 선동 촛불5만명을 2백만명으로 부풀려 선동 대통까지 나서서 선동하는데 정은이와 내통하는가부다	2019-10-01T16:43:18+0900	8	0
1871883053	suni****	저거 가짜다 원래는 황교안이 2배높을거임	2019-10-01T16:37:26+0900	7	2
1871880543	mori****	황교안씨 추카합니다....조국 지지율이 설치면 황교안 확실한 승리입니다...조국 재수없어서 황교안 뽑는 사람들이 많이 나오기 때문이지요...하지만 이낙연과 붙으면 쉽지 않습니다...	2019-10-01T16:35:34+0900	2	0
1871878403	jjan****	ㅋㅋ.기생충을  후보로?  리얼미터  어용 조작 전문 업체.어이없다	2019-10-01T16:33:56+0900	5	1
1871877463	eunh****	네이버야	2019-10-01T16:33:18+0900	0	0
1871873483	bibl****	조작하지말자	2019-10-01T16:29:59+0900	1	0
1871864953	tmfm****	황교안은 적폐인데 왜 아직도 저 자리에 있는건가여?	2019-10-01T16:23:35+0900	1	9
1871863363	akpe****	헛웃음만 나온다. 조작질 좀 그만해라. 지난번 박근혜 탄핵 때처럼 문재인 탄핵을 국민들이 광화문에서 외쳐야 여론을 알겠냐. 그것도 조작해서 통제하고 축소하겠지...조작과 선동 그리고 여론몰이로 사회주의 전형을 21세기에 다시 보여주는구나	2019-10-01T16:22:32+0900	11	0
1871859123	buml****	웃기고있네 조작수단가들 조국인  절대  장관감도안되는  인간	2019-10-01T16:19:19+0900	1	0
1871858153	qazz****	언론 플레이	2019-10-01T16:18:41+0900	0	0
1871857093	hank****	여론조사기관들  제정신이가 .조국가족사기단을 후보자로 거론 하다니.  이것들  완전  똘이이 들  윤석열 총장님 국민들이 응원합니다	2019-10-01T16:17:53+0900	4	2
1871850343	lees****	지금 박근혜가 조국이랑 붙어도 박근혜가 이긴다	2019-10-01T16:13:00+0900	9	1
1871848923	ardo****	조국 대통령 만들기 하냐? ㅎ	2019-10-01T16:11:59+0900	1	0
1871845583	ossa****	3위??  손혜원 고유정 조국 이렇게 3명인가?	2019-10-01T16:09:11+0900	1	2
1871840673	ysem****	조사그만해라 구라야	2019-10-01T16:05:07+0900	3	0
1871829513	suki****	황교안은 아니다..진짜..대선 후보에 오르면 꼭 한표라도 안되게 꼭 투표한다 내가. .	2019-10-01T15:55:34+0900	2	8
1871826093	eorn****	미친거 아냐?	2019-10-01T15:52:58+0900	4	0
